Método Ágil aplicado ao Desenvolvimento de Software Confiável baseado em Componentes,6/29/2011,11:00,"Alan Braz (Unicamp), Cecília M. F. Rubira (Unicamp) e Marco Vieira (Universidade de Coimbra)"
An Agile Technique for Prioritizing Features in Environments with Multiple Stakeholders,6/29/2011,11:00,Eduardo Negrão (ITA) e Eduardo Guerra (ITA)
Continuous Inspection - Uma abordagem efetiva para melhoria contínua da qualidade de software,6/29/2011,12:00,Gabriel de Souza Pereira Moreira e Roberto Pepato Mellado
There and back again (Lá e de Volta Outra Vez),6/29/2011,12:00,Cecilia Fernandes
Slicing and dicing your user stories,6/29/2011,12:00,Jenny Wong e Danilo Sato
LIGHTNING TALKS 1,6/29/2011,14:30,"Marlon Luz, Luca Bastos, Rodrigo Yoshima, Daniel William, Hélio Medeiros"
"Quando o design apodrece, TDD é seu melhor amigo",6/29/2011,14:30,Mauricio Aniche e Guilherme Silveira
"""COWBLAM! nossa metodologia é a melhor!""",6/29/2011,14:30,Alexandre Freire
Scrum com Equipes Distribuídas,6/29/2011,14:30,Rafael Prikladnicki
Desenvolvendo outside in com BDD,6/29/2011,14:30,Giovanni Bassi e Victor Hugo Germano
Integrando inspeção de usabilidade à metodologia ágil Scrum,6/29/2011,14:30,Fernanda Martins (UFPE)
Acompanhamento de projetos ágeis distribuído - Adaptando as práticas do Scrum,6/29/2011,14:30,"Hernan Munoz (UFPE), Teresa M Medeiros Maciel (UFPE) e Silvio Romero De Lemos Meira (UFPE)"
An Empirical Analysis of eXtreme Programming Practices and its Impact on Software Quality Metrics,6/29/2011,14:30,"Roberto Pepato Mellado (ITA), Gabriel De Souza Pereira Moreira (ITA), Adilson Marques Da Cunha (ITA), Luiz Alberto Vieira Dias (ITA) e Robson Luiz Monteiro Junior (ITA)"
Uma Abordagem Empírica para o Tratamento de Bugs em Ambientes Ágeis,6/29/2011,14:30,"Andreia Matos Dos Santos (UFAM, INdT), Börje Karlsson (INdT) e Andre Cavalcante (UDAM, INdT)"
Exploring User Wish through Mindmapping,6/29/2011,15:30,Kenji Hiranabe
GreenBar - Inserindo cultura de testes automatizados na sua empresa,6/29/2011,15:30,Rafael Ponte
Gerenciando sua dívida técnica,6/29/2011,15:30,Danilo Sato
A sociedade do Dojo e os grupos de Capoeira,6/29/2011,17:00,Bruno Pedroso
Tente Desenvolver Diferente com TDD,6/29/2011,17:00,Mauricio Matsuda e Altieres Lopes
Scrum na Horta,6/29/2011,17:00,Matheus Haddad e Flavio Logullo
Reservoir Dogs - a shot at agile portfolio management,6/29/2011,17:00,Thomas Lissajoux
Agile Database Development,6/29/2011,17:00,Pramod Sadalage
Retrato da comunidade acadêmica de Métodos Ágeis no Brasil,6/29/2011,17:00,Eduardo Katayama (USP) e Alfredo Goldman (USP)
Da Essência à Necessidade - Os Mitos do Mundo Ágil!,6/29/2011,18:00,Paulo Igor Alves Godinho e Anderson Silveira
"Problemas e soluções no desenvolvimento remoto: duas empresas, um projeto",6/29/2011,18:00,Lucas Cavalcanti e Dov Bigio
